L2_orth,L2_ipa,L2_gloss,L2_etym
baro,,"big, great",
baro,,boat,
baro,,boat,
beng,[beŋɡ],"(theology) devil, Synonym: buri bangel",
beng,[beŋɡ],"bad, evil",
chal,[ˈtʃæɫ],"man, chap, person",
dad,[ˈdæd],"father, Synonyms: daddarus, daddi, daddus, Kai si chor",
diddikai,[ˈdɪdikaɪ],"half-blood Romani
Synonyms: minks, poshrats",
gadji,,gadje (non-Romani) girl,
gadjo,[ˈɡaːd͡ʒəʊ],"gadje (non-Romani person), Coordinate term: gadji",
kalo,,black,
kam,[ˈkʰæm],sun,
mannush,,man,
me,[meɪ],"I, Synonyms: mandi, tutti",
mush,,man,
nav,,"name, Synonyms: lab, lav",
pal,[ˈpʰæl],"brother, Sa see pal te pen?(please add an English translation",phral
pani,[ˈpʰaːniː],"water, Synonyms: mungri, pia, brook, drink, tea, pond,",
pen,[ˈpʰen],"sister, Synonyms: minnipen, rakla, Sa see pal te pen?",
rakli,/ˈrækliː/,"woman, girl, lady",
rakli,/ˈrækliː/,female,
rakli,/ˈrækliː/,man,
rakli,/ˈrækliː/,man,
Romanichal,[ˈrəʊməniː ˈt͡ʃæl],"Romani, Synonym: Romani, English Romani",
ta,[ˈtʰə],and,
trushel,,cross,
trushel,,fork,
trushel,,fork,
