L2_orth,L2_ipa,L2_gloss,L2_etym
او,,water,
اوخوری,/awxoːwriː/,water bottle,
اوچه,/utʃe /,"there, ‏مو اوچه بیدم‎mow utʃe bidom.I was there.",
بالشت,/bɒleˈɛʃ/,pillow,
باو,/bɒo/,father,
برار,/bærɒr/,brother,
برد,,stone,
برنج,,rice,
برنو,/bærnaw/,rifle,
بز,,goat,
بنگ,/bonɡ/,sound,𐭥𐭠𐭭𐭢
بیدن,/bidæn/,"To be, ‏مو اوچه بیدم‎mow utʃe bidom.I was there.",
تش,/tæʃ/,"fire, gunfire",
تيه,,eye,
جئيد,/jæid/,new,
دا,,mother,
دالو,/dɒlu/,elderly woman,
دز,,thief,
دنگ,/donɡ/,"sound, racket",
دونا,/downɒ/,"knowing, ‏خدا دونا‎khoda downa.God knows., smart, ‏کر",
دیه,/diye/,"anymore, ‏دیه نیتونم‎diye nitunowm.I can't anymore.,",
زوان,,"(anatomy) tongue, language",*hižwáH
زی,/zi/,"fast, ‏زی اوچه وریستادم‎zi utʃe verejstɒdowm.I arrived",
سی,,for,
شو,/ˈɛʃæu/,"night, evening",
لگ,/læɡ/,leg,*(ǝ)lak-
مندن,/mændæn/,stay,
هونه,/howne/,house,
وریستادن,/verejstɒdæn/,"stand, wait, arrive",
ویدن,/vidæn/,arrive,
ویر,/vir/,"memory, ‏اٛز ڤیروم رٱهڌ‎ez virom rahđ.I forgot., matter,",
پمه,/pæmme/,cotton,
کر,/kowr/,"son, boy",
کوچیر,/kutʃir/,small,
گریوا,/ɡerivɒ/,weeping[1],*gʷréh₂us
گلوپیش,/ɡulupiʃ/,cat,
گودن,/ɡowden/,"say, ‏هو او ایگودن‎how u eigoden.They were saying that.",
