L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
a,/ʔa/,not,,
abe,/ʔa.be/,may (to be allowed),,
agung,/ʔa.ɡuŋ/,in the middle of,,
ahkau,/ʔa.kʰaw/,Alternative form of hkau,,
ahkí,/ʔa.kʰi/,Alternative form of ahkít,,
ahkít,/ʔa.kʰit/,now,,
asøk,/ʔa.sɨk/,Alternative form of søk,,
ayenap,/ʔa.je.nap/,Alternative form of ayénap,,
ayénap,/ʔa.je.nap/,yesterday,,
bang,/baŋ/,bright,,
bit,/bit/,sun,,
boem,/bøm/,mountain,,
byam,/bjam/,to jump,,
byau,/bjaw/,classifier for a bunch of fruit,,
byen,/bjen/,to clean,,
byit,/bjit/,to give,,
byu,/bju/,people,,
byáng,/bjaŋ˥/,(transitive) to cure,,
bá,/ba/,father,,
báng,/baŋ˥/,(intransitive) to contain holes,,
bøk,/bɨk/,to shoot,,
bøt,/bɨt/,to shoot,,
cap,/t͡ʃap/,Classifier for fruit.,,
Chengmay,/t͡ɕʰeŋ.maɪ̯/,Chiang Mai (a province of Thailand).,,
chi,/t͡ɕʰi/,what?,,
chikoyt,/t͡ɕʰi.koɪ̯t/,why?,,
chimu,/t͡ɕʰi.mu/,why?,,
chisú,/t͡ɕʰi.su/,how?,,
choyt,/t͡ɕʰoɪ̯t/,goat,,
chá,/t͡ɕʰa/,to need,,
cháng,/t͡ɕʰaŋ˥/,expensive,,
chít,/t͡ɕʰit/,to wash,,
chóng,/t͡ɕʰoŋ/,praise,,
cit,/t͡ʃit/,"little, small",,
couk,/t͡ʃowk/,cook,,
cáng,/t͡ɕaŋ˥/,(transitive) to lay (e.g. bricks),,
cáu,/t͡ɕaw/,to teach,,
da,/da/,one,,
da,/da/,"a, an",,
dagoyi,/da.ɡo.ji/,half,,
daiyám,/dai.jam/,some,,
daji,/da.d͡ʑi/,few,,
dam,/dam/,flat,,
dangáin,/da.ŋain/,all,,
doem,/døm/,again,,
dzain,/dzaɪ̯n/,year,,
dzi,/dzi/,thing,,
dzo,/d͡zoː˧/,child,,
dzobóe,/dzo.bø/,table,,
dzobóy,/dzo.boɪ̯/,Alternative form of dzobóe,,
dzung,/dzuŋ/,to pile up,,
dzáng,/d͡zaŋ˥/,(intransitive) to touch the target,,
dzóem,/dzøm/,"classifier for pairs of objects, like shoes",,
dzóyn,/dzoɪ̯n/,slope,,
dá,/da/,Used after an attribute. Indicates that the previous,,
dáng,/daŋ˥/,(intransitive) to fence,,
dé,/de/,to send,,
dò,/do/,up,,
dò,/do/,"go up, come up",,
dò,/do/,to attend,,
dò,/do/,to attend,,
fu,/fu/,"classifier for thin and flat objects, like a leaf",,
gam,/ɡam/,"classifier for a long, green plant, like a tree, grass or a flower",,
gau,/ɡaw/,nine,,
ge,/ɡe/,good,,
gi,/ɡi/,Alternative form of ge,,
